Open,High,Low,Close*,Volume(T)
8617.0,8994.5,8556.6,8907.5,378.833
8898.5,9434.0,8880.87,9368.5,183.736
9401.0,9439.53,9224.75,9321.0,338.919
9306.5,9579.0,9052.0,9498.0,439.762
9491.0,9528.0,9195.49,9330.0,278.944
9339.0,9528.0,9205.0,9386.5,178.909
9372.5,9483.5,9113.0,9338.0,286.205
9356.15,9549.35,9135.0,9298.5,206.535
9287.02,9415.0,9078.05,9167.15,327.958
9155.01,9779.0,9150.0,9641.0,432.667
9649.0,9869.0,9521.47,9737.5,419.418
9767.05,9890.0,9713.0,9807.5,266.036
9818.5,9957.5,9653.47,9908.5,281.707
9818.5,9957.5,9653.47,9908.5,281.707
9901.0,10185.5,9888.76,10158.0,308.408
10191.5,10199.0,9715.5,9890.5,391.647
9851.18,10400.0,9706.0,10293.0,329.899
10272.22,10500.0,9706.0,10344.5,333.961
10434.0,10550.0,10075.0,10223.5,341.538
10240.48,10393.0,10119.0,10357.5,218.069
10380.0,10408.04,9731.0,9894.0,299.427
9888.0,10049.0,9612.12,10004.0,279.897
9933.5,9970.0,9467.0,9692.5,380.924
9665.5,10300.0,9610.27,10200.5,398.511
10189.0,10331.0,9260.5,9630.0,423.104
9611.0,9689.18,9354.0,9614.5,311.863
9594.5,9788.0,9506.0,9705.5,205.812
9697.5,9788.0,9506.0,9671.0,111.292
9679.5,10045.0,9560.5,9983.5,218.356
9969.5,10036.0,9480.0,9661.0,161.995
9662.5,10036.0,9233.5,9344.5,306.221
9316.0,9697.5,8580.0,8794.5,532.723
8788.0,10185.06,8523.0,8765.0,382.475
8803.5,8969.0,8428.8,8753.0,426.54
8743.0,8806.5,8551.0,8552.0,192.523
8567.5,8769.0,8400.0,8537.0,347.326
8522.48,8972.92,8488.87,8897.5,106.596
8911.0,8924.69,8635.31,8780.94,105.0
8754.5,8917.0,8660.0,8755.79,206.085
8760.0,9174.24,8670.57,9053.5,313.414
9069.5,9182.08,8772.0,9154.5,205.081
9143.0,9224.5,8850.47,8900.0,243.591
8899.5,9224.5,8038.0,8050.5,432.343
8039.0,8880.5,7310.0,7888.0,650.673
7933.5,8158.25,7723.0,7933.0,453.977
7881.5,7985.0,7583.27,7929.5,356.664
7943.57,7969.45,4810.0,4839.5,558.671
4515.0,5995.0,3596.0,5520.63,186.49
5581.28,6000.0,3901.25,5137.96,31.382
5152.62,5985.0,5050.0,5386.62,66.685
5222.0,5350.0,4432.3,5026.76,41.013
5022.38,5569.44,4432.3,5429.0,69.62
5360.71,5569.44,4935.6,5402.3,63.322
5441.13,6441.37,5261.69,6207.83,87.854
6193.89,7677.0,5261.69,6177.72,86.954
6086.03,6470.0,5850.0,6167.45,40.621
6167.02,6420.0,5738.0,5821.37,46.122
5816.59,6641.03,5678.2,6462.0,68.324
6506.0,6866.1,5678.2,6757.62,64.057
6665.51,6983.31,6470.0,6689.16,39.475
6749.46,6798.84,6520.13,6745.51,32.487
6766.42,6880.0,6260.0,6354.84,31.3
6225.0,6345.51,6030.0,6263.0,33.832
6260.0,6333.88,5871.0,5907.38,25.64
5871.64,6631.23,5851.0,6420.61,39.893
6399.22,6631.23,5853.0,6444.19,21.272
6425.27,6714.76,6156.47,6662.3,28.999
6739.0,7292.11,6576.4,6787.0,53.463
6790.05,7053.3,6606.06,6735.92,31.065
6744.53,7050.0,6606.06,6860.2,19.291
6884.04,6914.0,6681.0,6802.5,15.196
6776.86,7324.55,6681.0,7284.94,45.203
7362.0,7474.9,7073.0,7185.0,36.74
7194.9,7430.0,7154.22,7356.77,27.882
7194.9,7430.0,7154.22,7356.77,27.882
7340.35,7377.0,7110.0,7293.03,15.781
7296.0,7377.0,6750.0,6863.63,32.411
6883.23,6998.49,6775.0,6883.58,15.253
6900.0,7200.0,6787.44,6993.86,22.36
6868.33,6907.59,6555.0,6868.8,17.836
6863.31,6997.38,6555.0,6856.61,22.171
6871.0,6997.38,6601.0,6632.0,14.815
6569.8,7217.27,6456.0,7116.11,40.671
7115.99,7157.5,7000.0,7065.29,20.116
7038.19,7308.0,7000.0,7252.45,19.184
7260.0,7308.0,7044.33,7138.59,13.973
7117.14,7231.9,6748.72,6847.0,29.993
6839.58,7227.11,6748.72,6847.55,21.634
6853.02,7167.37,6776.0,7123.93,20.227
7124.79,7775.0,7031.14,7471.54,34.291
7481.03,7775.0,7031.14,7509.95,22.475
7509.62,7731.8,7442.2,7545.1,17.419
7546.2,7731.8,7442.2,7697.81,15.53
7761.31,7810.99,7635.69,7777.01,22.871
7757.58,7777.27,7672.0,7766.96,16.008
7766.81,8988.0,7672.0,8778.01,71.353
8779.83,9478.66,8407.0,8635.66,71.531
8637.3,9077.0,8623.53,8849.74,14.808
8795.99,9025.0,8762.01,8987.05,17.125
8994.26,9203.52,8731.01,8897.13,27.395
8909.0,9203.52,8533.98,8882.23,28.515
8917.84,9126.27,8769.69,8974.33,24.892
9015.27,9418.0,8922.13,9236.01,39.606
9173.0,10079.0,8922.13,10052.14,59.949
9957.93,10049.0,9727.5,9825.27,40.236
9730.1,9920.73,9525.0,9535.08,27.504
9484.29,9541.05,8106.7,8761.47,76.096
8771.34,9182.66,8185.0,8622.17,17.199
8563.93,8982.9,8534.85,8807.89,29.845
8817.09,9420.18,8534.85,9323.1,33.492
9351.11,9943.93,9256.9,9819.95,44.666
9826.04,9841.67,9120.0,9299.99,38.069
9306.96,9841.67,9120.0,9379.99,17.861
9388.43,9896.0,9215.01,9673.84,22.651
9671.06,9957.25,9325.81,9719.97,27.921
9685.34,9900.0,9463.22,9771.98,25.968
9789.95,9898.0,9294.54,9532.21,26.893
9514.92,9836.99,8800.0,9042.55,42.716
9029.54,9267.34,8923.5,9152.61,21.068
9177.39,9316.0,9072.5,9170.03,11.073
9164.36,9306.23,8680.7,8768.93,20.407
8739.59,9306.23,8644.0,8907.75,19.513
8892.5,9016.99,8674.21,8832.71,18.074
8844.78,9230.0,8811.46,9185.34,18.765
9193.98,9625.0,8811.46,9558.34,24.642
9600.0,9609.02,9330.01,9428.18,29.548
9412.1,9764.0,9326.43,9695.0,16.821
9678.51,9700.0,9369.58,9445.21,12.838
9417.92,10428.0,9414.6,10200.0,29.898
10203.36,10215.93,9270.0,9521.16,30.102
9533.27,10215.93,9270.0,9651.48,17.094
9656.68,9888.0,9385.22,9806.39,20.442
9809.74,9855.0,9585.44,9635.67,20.432
9586.99,9735.13,9526.03,9686.49,9.617
9660.65,9822.0,9370.0,9752.97,17.532
9660.65,9822.0,9370.0,9752.97,17.532
9753.18,9822.0,9370.0,9788.53,13.003
9826.79,9900.4,9558.89,9772.74,17.135
9766.49,10018.67,9690.0,9879.47,19.497
9892.93,10018.67,9050.0,9296.34,41.537
9235.49,9552.87,9230.49,9458.11,17.084
9466.62,9493.03,9353.8,9466.9,14.578
9464.1,9477.76,9240.0,9337.99,8.509
9314.99,9562.18,8895.01,9443.29,30.787
9437.26,9592.04,9381.0,9527.11,19.083
9520.79,9558.48,9227.03,9452.62,15.512
9440.22,9482.66,9267.18,9397.0,10.947
9368.45,9439.7,9219.9,9267.76,13.471
9336.02,9333.48,9161.0,9275.0,16.226
9353.97,9419.35,9273.0,9279.35,5.823
9280.92,9792.0,9273.92,9689.93,18.216
9710.91,9724.53,9572.22,9612.95,25.667
9626.91,9663.38,9195.0,9277.07,20.275
9272.2,9335.0,8979.07,9253.58,21.174
9253.4,9310.0,9010.67,9152.7,16.733
